Hugo_Symbol,mean,sd
AKAP9,5.446427,0.17418516
AKD1,5.452808,0.15914364
AKIRIN1,7.367868,0.6010015
AKIRIN2,8.376717,0.44977134
AKNA,7.4929004,0.6750836
AKNAD1,5.422152,0.14522442
AKR1A1,10.570928,0.449455
AKR1B1,8.796838,0.70439464
AKR1B10,5.704025,0.8264488
AKR1B15,5.708376,0.81038755
AKR1C1,5.2405715,0.13159001
AKR1C2,7.447637,1.5659658
AKR1C3,8.430075,1.1140832
AKR1C4,7.075206,1.149047
AKR1C6P,5.264828,0.12807651
AKR1D1,12.993437,0.56861085
AKR1E2,5.4172325,0.2280875
AKR7A2,10.0445,0.5392843
AKR7A3,9.342267,1.2723264
AKR7L,6.050865,0.4783942
AKT1,10.37051,0.56778735
AKT1S1,5.7433534,0.29465422
AKT2,5.679939,0.2169645
AKT3,5.5247817,0.17715915
AKTIP,6.454426,0.503922
ALAD,7.9086165,0.47257343
ALAS1,5.9242344,0.2074424
ALAS2,5.50084,0.15309311
ALB,6.2319155,1.3812811
ALCAM,9.087263,1.0368575
ALDH16A1,6.6613264,0.34275174
ALDH18A1,8.440663,0.47492766
ALDH1A1,7.6643734,1.0121571
ALDH1A2,6.1647067,0.699344
ALDH1A3,7.789032,0.9446934
ALDH1B1,5.9896703,0.39896262
ALDH1L1,5.5726213,0.46247512
ALDH1L2,6.0640583,0.41244075
ALDH2,8.743999,0.80141264
ALDH3A1,5.4560156,0.24914144
ALDH3A2,9.169067,0.7907781
ALDH3B1,6.7776647,0.5692994
ALDH3B2,9.332895,1.678397
ALDH4A1,6.9283195,0.65318006
ALDH5A1,6.917958,0.59252286
ALDH6A1,8.37407,0.64476764
ALDH7A1,9.180099,0.54855263
ALDH8A1,5.691222,0.266567
ALDH9A1,11.525295,0.4544127
ALDOA,11.051859,1.0421703
ALDOB,6.276478,0.5111399
ALDOC,7.892216,0.9521362
ALG1,6.552082,0.42460883
ALG10,5.6976185,0.2067723
ALG10B,5.9264503,0.30565464
ALG11,5.722794,0.55906165
ALG12,5.8679094,0.2143947
ALG13,8.095738,0.54781145
ALG14,6.693898,0.45288414
ALG1L,6.7025237,1.1507064
ALG1L2,5.3656774,0.12327247
ALG2,5.8993735,0.19721667
ALG3,8.611033,0.5210283
ALG5,8.610209,0.56101173
ALG6,7.789946,0.45616475
ALG8,8.633224,0.72871405
ALG9,7.7675085,0.3454406
ALK,5.570612,0.19999397
ALKBH1,6.807954,0.34835887
ALKBH2,7.720223,0.4494845
ALKBH3,7.8376794,0.4929472
ALKBH4,6.0985966,0.25480825
ALKBH5,11.213807,0.36284095
ALKBH6,7.150729,0.36447522
ALKBH7,7.889864,0.44236293
ALKBH8,6.2418556,0.3383135
ALLC,5.3109026,0.13801065
ALMS1,6.4934835,0.3579685
ALOX12,5.3468037,0.22542082
ALOX12B,5.3967185,0.18479766
ALOX12P2,5.404456,0.25213745
ALOX15,5.4884057,0.19846259
ALOX15B,6.2593493,1.1370671
ALOX5,9.028618,0.74869657
ALOX5AP,9.697195,1.0046148
ALOXE3,5.491896,0.17655598
ALPI,5.5896835,0.16549511
ALPK1,7.305113,0.41463426
ALPK2,6.261043,0.60785973
ALPK3,5.3488226,0.1548187
ALPL,7.748024,1.0787708
ALPP,10.728732,0.7985029
ALS2,8.057156,0.3157124
ALS2CL,5.5692997,0.2502199
ALX1,5.3314466,0.24967909
ALX3,5.552197,0.16397613
ALX4,5.290357,0.1446557
AMAC1L3,5.4220166,0.118554994
AMACR,6.3644547,0.44112065
AMBN,5.35348,0.14041062
AMBP,5.476375,0.17428498
AMBRA1,5.65774,0.17806122
AMD1,7.1063123,0.72591513
AMDHD1,5.868403,0.4631727
AMDHD2,7.567788,0.47957852
AMELX,5.350339,0.14207722
AMELY,5.4717717,0.13493253
AMFR,8.326787,0.7477172
AMH,5.7668815,0.5095191
AMHR2,5.4665937,0.24077988
AMIGO1,5.603117,0.16535701
AMIGO2,5.564728,0.1485225
AMIGO3,5.628676,0.14963306
AMMECR1,7.104349,0.55186075
AMMECR1L,7.038285,0.35155508
AMN,5.4188776,0.13486794
AMN1,5.778277,0.32375532
AMOT,7.2970967,0.66444534
AMOTL1,5.652702,0.151873
AMOTL2,5.521946,0.2022715
AMPD1,5.660925,0.3912157
AMPD2,5.3511233,0.17640692
AMPD3,5.735438,0.17032222
AMPH,6.699746,0.86161375
AMT,6.8542976,0.60191166
AMTN,5.408801,0.50745344
AMY1A,8.153778,0.70563227
AMY2A,6.485715,0.71454704
AMY2B,5.7250266,0.3204543
AMZ1,5.5689917,0.17634884
AMZ2,10.179199,0.49845022
AMZ2P1,5.447782,0.12224283
ANAPC1,7.93131,0.35267478
ANAPC10,7.8354955,0.46642885
ANAPC11,9.5917225,0.52446467
ANAPC13,10.166236,0.48111677
ANAPC16,7.5748634,0.47794336
ANAPC2,5.8911285,0.27653253
ANAPC4,8.213144,0.37858924
ANAPC5,10.265895,0.30436453
ANAPC7,6.083562,0.29325756
ANG,7.9258003,0.8448292
ANGEL1,7.1530724,0.37327796
ANGEL2,8.937953,0.46415928
ANGPT1,6.1208997,0.5409224
ANGPT2,7.1210647,0.54443413
ANGPT4,5.2779617,0.13739502
ANGPTL1,5.4579268,0.20108218
ANGPTL2,8.345404,0.8823035
ANGPTL3,5.444909,0.16171162
ANGPTL4,7.069404,0.9973621
ANGPTL5,5.326845,0.16046917
ANGPTL6,5.533422,0.17949203
ANGPTL7,5.53531,0.26203558
ANGPTL8,5.673182,0.21330276
ANK1,5.4967976,0.30022618
ANK2,5.704421,0.3560553
ANK3,6.03742,0.474578
ANKAR,5.878102,0.2751388
ANKDD1A,6.6246395,0.43563998
ANKFN1,5.325444,0.213203
ANKFY1,6.3769155,0.37647694
ANKH,5.5386453,0.21783316
ANKHD1,7.046758,0.4780025
ANKHD1-EIF4EBP3,6.173243,0.3263894
ANKK1,5.4429684,0.21604459
ANKLE1,5.7484417,0.21565163
ANKLE2,5.3858495,0.14116079
ANKMY1,7.621339,0.57223624
ANKMY2,7.627542,0.45863375
ANKRA2,7.4228954,0.537492
ANKRD1,5.4745517,0.39022967
ANKRD10,7.8124485,0.5197434
ANKRD11,8.49115,0.4901293
ANKRD12,7.5492454,0.38130203
ANKRD13A,8.6297455,0.37466803
ANKRD13B,5.7041078,0.25864026
ANKRD13C,6.4364314,0.25721318
ANKRD13D,5.3730288,0.16531004
ANKRD16,7.3531094,0.44848204
ANKRD17,6.6338058,0.34876662
ANKRD18DP,5.4840183,0.19360112
ANKRD2,5.3174334,0.14313425
ANKRD20A3,5.2023606,0.14584358
ANKRD20A4,7.310104,0.91350627
ANKRD20A9P,5.2952743,0.1730118
ANKRD22,6.6367874,0.7122666
ANKRD23,5.802006,0.28405783
ANKRD24,6.1367946,0.45575514
ANKRD26,6.273326,0.36536384
ANKRD26P1,5.2683544,0.12785238
ANKRD27,5.9919,0.33736256
ANKRD28,6.986924,0.41048163
ANKRD29,6.3366785,0.6859123
ANKRD30A,9.602948,2.6828258
ANKRD30B,6.094348,0.945309
ANKRD31,5.331345,0.11635099
ANKRD33,8.611961,0.83685917
ANKRD34A,5.7193985,0.24003431
ANKRD34B,5.34528,0.18694662
ANKRD34C,5.549034,0.12782347
ANKRD35,7.0325904,0.77836645
ANKRD36,6.0144057,0.2904117
ANKRD36B,7.8605223,1.0336068
ANKRD36BP2,5.4515657,0.0996877
ANKRD37,7.6111865,0.6909465
ANKRD39,7.51322,0.40943593
ANKRD40,5.838044,0.32726115
ANKRD42,5.3317494,0.14318436
ANKRD44,6.20703,0.49089196
ANKRD45,5.4275665,0.14922722
ANKRD46,8.093136,0.5139552
ANKRD49,7.5249405,0.37459663
ANKRD50,8.147892,0.66883576
ANKRD53,5.4377637,0.13173878
ANKRD54,7.620228,0.40476692
ANKRD55,5.5356574,0.23107658
ANKRD6,6.895617,0.42744362
ANKRD65,6.9991603,0.39574197
ANKRD66,5.3431993,0.1208436
ANKRD7,5.4926734,0.13819358
ANKRD9,8.678165,0.5740814
ANKS1A,8.507397,0.38512656
ANKS1B,6.733859,0.75296426
ANKS3,6.220374,0.38196468
ANKS4B,5.3044486,0.16626193
ANKS6,5.4663467,0.14495462
ANKZF1,7.0644517,0.39278117
ANLN,6.363356,0.62765956
ANO1,8.5879345,0.9641639
ANO10,7.50912,0.482268
ANO2,5.742449,0.3847139
ANO3,5.4506164,0.4090382
ANO4,5.4785676,0.16806045
ANO5,5.344186,0.14513874
ANO6,8.1641655,0.45186508
ANO7,5.7005715,0.19215101
ANO8,6.815131,0.46662104
ANO9,6.3761106,0.47447363
ANP32A,5.6899962,0.38550666
ANP32AP1,6.7968807,0.41917044
ANP32B,11.575284,0.4038611
ANP32C,5.774392,0.32102326
ANP32D,5.258075,0.12274987
ANP32E,5.399694,0.17125285
ANPEP,7.204507,1.1769277
ANTXR1,10.422297,0.8801646
ANTXR2,7.950511,0.60945755
ANTXRL,5.296841,0.17764902
ANXA1,10.691321,0.92817974
ANXA10,5.336168,0.15645769
ANXA11,8.245184,0.5036095
ANXA13,5.535231,0.2208225
ANXA2,8.816623,0.8923202
ANXA2P1,9.716665,0.93073577
ANXA2P3,6.1424446,0.3599175
ANXA2R-AS1,6.1234756,0.35685018
ANXA3,6.045285,0.6129738
ANXA4,5.9620924,0.48738736
ANXA5,10.609228,0.5417122
ANXA6,6.931872,0.377939
ANXA7,9.907819,0.38663307
ANXA8,6.454355,1.0539688
ANXA8L1,5.8942904,0.5900409
ANXA9,6.7475224,0.99430895
AOAH,6.345008,0.50095105
AOC2,5.5649433,0.14579552
AOC3,5.8021073,0.2981789
AOC4P,9.628167,0.7825497
AOX1,6.273176,0.76365876
AOX2P,5.4522395,0.1306125
AP1AR,5.807432,0.28981647
AP1B1,7.9197803,0.44628108
AP1G1,7.0189805,0.41963914
AP1G2,8.038972,0.5383107
AP1M1,8.337226,0.3739168
AP1M2,6.3376265,0.38431484
AP1S1,8.082931,0.75027174
AP1S2,8.096764,0.62175643
AP1S3,5.2647805,0.12628387
AP2A1,6.5587115,0.3631556
AP2A2,6.3725533,0.32278755
AP2B1,7.1401544,0.5563345
AP2M1,9.276654,0.3851652
AP2S1,10.172581,0.48441175
AP3B1,9.604178,0.37189186
AP3B2,5.673299,0.54430634
AP3D1,8.603395,0.36380282
AP3M1,8.592921,0.54300934
AP3M2,8.004483,0.55869997
AP3S1,8.489507,0.798076
AP4B1,8.101044,0.35980725
AP4E1,7.103729,0.30470416
AP4M1,6.2439528,0.30260077
